row_idx	row_label	col_idx	col_label	similarity
0	java_recusion_ab6512	0	java_recusion_ab6512	1.0
0	java_recusion_ab6512	1	java_recusion_abd112	0.9040236402799824
1	java_recusion_abd112	0	java_recusion_ab6512	0.9040236402799824
0	java_recusion_ab6512	2	java_recusion_ac3612	0.7928390821256325
2	java_recusion_ac3612	0	java_recusion_ab6512	0.7928390821256325
0	java_recusion_ab6512	3	java_recusion_ad4412	0.8180675814008425
3	java_recusion_ad4412	0	java_recusion_ab6512	0.8180675814008425
0	java_recusion_ab6512	4	java_recusion_aed212	0.8485650978479492
4	java_recusion_aed212	0	java_recusion_ab6512	0.8485650978479492
0	java_recusion_ab6512	5	java_recusion_afe12	0.7177928472559421
5	java_recusion_afe12	0	java_recusion_ab6512	0.7177928472559421
0	java_recusion_ab6512	6	java_recusion_aic212	0.8029787220185212
6	java_recusion_aic212	0	java_recusion_ab6512	0.8029787220185212
0	java_recusion_ab6512	7	java_recusion_ak6012	0.8902757371826666
7	java_recusion_ak6012	0	java_recusion_ab6512	0.8902757371826666
0	java_recusion_ab6512	8	java_recusion_am4012	0.6998786319129439
8	java_recusion_am4012	0	java_recusion_ab6512	0.6998786319129439
0	java_recusion_ab6512	9	java_recusion_am6312	0.7083482862920776
9	java_recusion_am6312	0	java_recusion_ab6512	0.7083482862920776
0	java_recusion_ab6512	10	java_recusion_am8112	0.7243488111922429
10	java_recusion_am8112	0	java_recusion_ab6512	0.7243488111922429
0	java_recusion_ab6512	11	java_recusion_amv12	0.6116232702947467
11	java_recusion_amv12	0	java_recusion_ab6512	0.6116232702947467
0	java_recusion_ab6512	12	java_recusion_as13412	0.7419025516336881
12	java_recusion_as13412	0	java_recusion_ab6512	0.7419025516336881
0	java_recusion_ab6512	13	java_recusion_as4712	0.5480038131259626
13	java_recusion_as4712	0	java_recusion_ab6512	0.5480038131259626
0	java_recusion_ab6512	14	java_recusion_ash112	0.843260490603808
14	java_recusion_ash112	0	java_recusion_ab6512	0.843260490603808
0	java_recusion_ab6512	15	java_recusion_ba912	0.842607035923842
15	java_recusion_ba912	0	java_recusion_ab6512	0.842607035923842
0	java_recusion_ab6512	16	java_recusion_bjc212	0.8489267814623702
16	java_recusion_bjc212	0	java_recusion_ab6512	0.8489267814623702
0	java_recusion_ab6512	17	java_recusion_bl2312	0.5266571163905259
17	java_recusion_bl2312	0	java_recusion_ab6512	0.5266571163905259
0	java_recusion_ab6512	18	java_recusion_bm1212	0.885707678921814
18	java_recusion_bm1212	0	java_recusion_ab6512	0.885707678921814
0	java_recusion_ab6512	19	java_recusion_bm1912	0.6137420494205191
19	java_recusion_bm1912	0	java_recusion_ab6512	0.6137420494205191
0	java_recusion_ab6512	20	java_recusion_bms112	0.8250404860292535
20	java_recusion_bms112	0	java_recusion_ab6512	0.8250404860292535
0	java_recusion_ab6512	21	java_recusion_bp912	0.7927747754750657
21	java_recusion_bp912	0	java_recusion_ab6512	0.7927747754750657
0	java_recusion_ab6512	22	java_recusion_bso12	0.6636575869114224
22	java_recusion_bso12	0	java_recusion_ab6512	0.6636575869114224
0	java_recusion_ab6512	23	java_recusion_cac112	0.7495966354588127
23	java_recusion_cac112	0	java_recusion_ab6512	0.7495966354588127
0	java_recusion_ab6512	24	java_recusion_cam212	0.7935360089047819
24	java_recusion_cam212	0	java_recusion_ab6512	0.7935360089047819
0	java_recusion_ab6512	25	java_recusion_cc7912	0.7503773302671845
25	java_recusion_cc7912	0	java_recusion_ab6512	0.7503773302671845
0	java_recusion_ab6512	26	java_recusion_ccp212	0.8662555533231701
26	java_recusion_ccp212	0	java_recusion_ab6512	0.8662555533231701
0	java_recusion_ab6512	27	java_recusion_cm2812	0.8983407482729278
27	java_recusion_cm2812	0	java_recusion_ab6512	0.8983407482729278
0	java_recusion_ab6512	28	java_recusion_cm3512	0.7791418090926738
28	java_recusion_cm3512	0	java_recusion_ab6512	0.7791418090926738
